paper,subject,trial_number,trial_looking_time,age_in_days
brandone_2009,brandone_2009.1.1_successfulreaching8.901,7,33.4,244.5
brandone_2009,brandone_2009.1.1_successfulreaching8.901,8,8.2,244.5
brandone_2009,brandone_2009.1.1_successfulreaching8.901,9,24.5,244.5
brandone_2009,brandone_2009.1.1_successfulreaching8.903,1,27.9,235.4
brandone_2009,brandone_2009.1.1_successfulreaching8.903,2,42.8,235.4
brandone_2009,brandone_2009.1.1_successfulreaching8.903,3,32.2,235.4
brandone_2009,brandone_2009.1.1_successfulreaching8.903,4,10.6,235.4
brandone_2009,brandone_2009.1.1_successfulreaching8.903,5,12.8,235.4
brandone_2009,brandone_2009.1.1_successfulreaching8.917,1,25.6,236.4
brandone_2009,brandone_2009.1.1_successfulreaching8.917,2,18.1,236.4
brandone_2009,brandone_2009.1.1_successfulreaching8.917,3,53,236.4
brandone_2009,brandone_2009.1.1_successfulreaching8.917,4,22.5,236.4
brandone_2009,brandone_2009.1.1_successfulreaching8.917,5,23.1,236.4
brandone_2009,brandone_2009.1.1_successfulreaching8.917,6,25.5,236.4
brandone_2009,brandone_2009.1.1_successfulreaching8.917,7,14.2,236.4
brandone_2009,brandone_2009.1.1_successfulreaching10.51,1,16.92,282.8
brandone_2009,brandone_2009.1.1_successfulreaching10.51,2,10.6,282.8
brandone_2009,brandone_2009.1.1_successfulreaching10.51,3,7.82,282.8
brandone_2009,brandone_2009.1.1_successfulreaching10.51,4,7.48,282.8
brandone_2009,brandone_2009.1.1_successfulreaching10.51,5,7.37,282.8
brandone_2009,brandone_2009.1.1_successfulreaching10.57,1,2.07,281
brandone_2009,brandone_2009.1.1_successfulreaching10.57,2,2.13,281
brandone_2009,brandone_2009.1.1_successfulreaching10.57,3,3.27,281
brandone_2009,brandone_2009.1.1_successfulreaching10.57,4,6.9,281
brandone_2009,brandone_2009.1.1_successfulreaching10.57,5,4.27,281
brandone_2009,brandone_2009.1.1_successfulreaching10.57,6,2.3,281
brandone_2009,brandone_2009.1.1_successfulreaching10.57,7,2.1,281
brandone_2009,brandone_2009.1.1_successfulreaching10.57,8,4.43,281
brandone_2009,brandone_2009.1.1_successfulreaching10.57,9,2.85,281
brandone_2009,brandone_2009.1.1_successfulreaching10.37,1,6.12,283.1
brandone_2009,brandone_2009.1.1_successfulreaching10.37,2,6.22,283.1
brandone_2009,brandone_2009.1.1_successfulreaching10.37,3,2.05,283.1
brandone_2009,brandone_2009.1.1_successfulreaching10.37,4,2.18,283.1
brandone_2009,brandone_2009.1.1_successfulreaching10.37,5,4.88,283.1
brandone_2009,brandone_2009.1.1_successfulreaching10.37,6,2.17,283.1
brandone_2009,brandone_2009.1.1_successfulreaching10.37,7,2.95,283.1
brandone_2009,brandone_2009.1.1_successfulreaching10.54,1,9.62,307.1
brandone_2009,brandone_2009.1.1_successfulreaching10.54,2,2.4,307.1
brandone_2009,brandone_2009.1.1_successfulreaching10.54,3,2.6,307.1
