subject,trial_number,trial_type,trial_looking_time,agedays,complexity
choi_2018.1.1_twoobject.4,7,deviant,5.1,111.3,complex
choi_2018.1.1_twoobject.5,7,deviant,60,99.3,complex
choi_2018.1.1_twoobject.6,7,deviant,7.6,85.9,complex
choi_2018.1.1_twoobject.7,7,deviant,60,109.3,complex
choi_2018.1.1_twoobject.8,7,deviant,5,112.3,complex
choi_2018.1.1_twoobject.9,7,deviant,29.1,89.9,complex
choi_2018.1.1_twoobject.10,7,deviant,60,97.3,complex
choi_2018.1.1_twoobject.11,7,deviant,29.2,113.3,complex
choi_2018.1.1_twoobject.12,7,deviant,28.6,114.3,complex
choi_2018.1.1_twoobject.13,7,deviant,34.7,109.3,complex
choi_2018.1.1_twoobject.14,7,deviant,5.3,109.3,complex
choi_2018.1.1_twoobject.15,7,deviant,6.6,103.3,complex
choi_2018.1.1_twoobject.16,7,deviant,60,77.9,complex
choi_2018.1.1_oneobject.17,7,deviant,60,119.3,complex
choi_2018.1.1_oneobject.18,7,deviant,29.7,83.9,complex
choi_2018.1.1_oneobject.19,7,deviant,15,96.3,complex
choi_2018.1.1_oneobject.20,7,deviant,20.3,117.3,complex
choi_2018.1.1_oneobject.21,7,deviant,6,75.9,complex
choi_2018.1.1_oneobject.22,7,deviant,12,111.3,complex
choi_2018.1.1_oneobject.23,7,deviant,18.6,89.9,complex
choi_2018.1.1_oneobject.24,7,deviant,7,127.8,complex
choi_2018.1.1_oneobject.25,7,deviant,60,84.9,complex
choi_2018.1.1_oneobject.26,7,deviant,60,118.3,complex
choi_2018.1.1_oneobject.27,7,deviant,43.1,123.8,complex
choi_2018.1.1_oneobject.28,7,deviant,19.7,92.3,complex
choi_2018.1.1_oneobject.29,7,deviant,8.2,111.3,complex
choi_2018.1.1_oneobject.30,7,deviant,60,92.3,complex
choi_2018.1.1_oneobject.31,7,deviant,17.3,75.9,complex
choi_2018.1.1_oneobject.32,7,deviant,14.2,92.3,complex
choi_2018.1.1_hidden.33,7,deviant,60,85.9,complex
choi_2018.1.1_hidden.34,7,deviant,56,92.3,complex
choi_2018.1.1_hidden.35,7,deviant,60,79.9,complex
choi_2018.1.1_hidden.36,7,deviant,60,75.9,complex
choi_2018.1.1_hidden.37,7,deviant,5.3,119.3,complex
choi_2018.1.1_hidden.38,7,deviant,16.4,84.9,complex
choi_2018.1.1_hidden.39,7,deviant,10.9,113.3,complex
choi_2018.1.1_hidden.40,7,deviant,7.9,117.3,complex
choi_2018.1.1_hidden.41,7,deviant,8.3,86.9,complex
choi_2018.1.1_hidden.42,7,deviant,6.6,75.9,complex
choi_2018.1.1_hidden.43,7,deviant,14.1,121.8,complex
choi_2018.1.1_hidden.44,7,deviant,60,95.3,complex
choi_2018.1.1_hidden.45,7,deviant,60,110.3,complex
choi_2018.1.1_hidden.46,7,deviant,7.7,95.3,complex
choi_2018.1.1_hidden.47,7,deviant,21.9,120.3,complex
choi_2018.1.1_hidden.48,7,deviant,20.9,110.3,complex
chuey_2021.4.4_online.P2-,6,deviant,6.67,293.2,complex
chuey_2021.4.4_online.P3-,7,deviant,13.48,300.3,complex
chuey_2021.4.4_online.P7a-,7,deviant,11.14,324.7,complex
chuey_2021.4.4_online.P10,7,deviant,5,286.1,complex
chuey_2021.4.4_online.P4-,7,deviant,56.77,316.6,complex
chuey_2021.4.4_online.P5-,5,deviant,13.19,319.6,complex
chuey_2021.4.4_online.P6-,5,deviant,8.16,289.2,complex
chuey_2021.4.4_online.P7-,7,deviant,1.452,322.7,complex
chuey_2021.4.4_online.P12,6,deviant,24.58,352.1,complex
chuey_2021.4.4_online.P13,7,deviant,13.27,321.6,complex
chuey_2021.4.4_online.P14,7,deviant,20.87,328.8,complex
chuey_2021.4.4_online.P16,7,deviant,38.51,322.7,complex
chuey_2021.4.4_online.P17,7,deviant,6.33,280,complex
chuey_2021.4.4_online.P18,6,deviant,8.19,398.8,complex
chuey_2021.4.4_online.P19,6,deviant,18.88,329.8,complex
chuey_2021.4.4_online.P20,7,deviant,4.24,255.7,complex
chuey_2021.4.4_online.P21,7,deviant,7.64,330.8,complex
chuey_2021.4.4_online.P22,7,deviant,30.3,350.1,complex
chuey_2021.4.4_online.P23,7,deviant,12.52,369.3,complex
chuey_2021.4.4_online.P24,7,deviant,59.25,351.1,complex
chuey_2021.4.4_online.P26,7,deviant,6.53,211.1,complex
chuey_2021.4.4_online.P27,7,deviant,5.88,328.8,complex
chuey_2021.4.4_online.P28,7,deviant,9.28,304.4,complex
chuey_2021.4.4_online.P29,7,deviant,13.32,326.7,complex
chuey_2021.4.4_online.P30,7,deviant,14.45,217.1,complex
gerson_2014a.1.1_active.70,7,deviant,3.8,94.4,complex
gerson_2014a.1.1_active.73,7,deviant,9.72,106.5,complex
gerson_2014a.1.1_active.75,7,deviant,7.95,117.8,complex
gerson_2014a.1.1_active.82,7,deviant,1.1,98.3,complex
gerson_2014a.1.1_active.84,7,deviant,85.55,106.5,complex
gerson_2014a.1.1_active.88,7,deviant,15.32,114.8,complex
gerson_2014a.1.1_active.89,7,deviant,2.28,118.7,complex
gerson_2014a.1.1_active.93,7,deviant,15.3,105.6,complex
gerson_2014a.1.1_active.94,7,deviant,22.65,101.4,complex
gerson_2014a.1.1_active.98,7,deviant,7.43,101.4,complex
gerson_2014a.1.1_active.99,7,deviant,2.27,104.4,complex
gerson_2014a.1.1_active.103,7,deviant,0.53,107.5,complex
gerson_2014a.1.1_active.105,7,deviant,32.12,121.8,complex
gerson_2014a.1.1_active.114,7,deviant,3.12,112.6,complex
gerson_2014a.1.1_active.115,7,deviant,1,108.7,complex
gerson_2014a.1.1_active.118,7,deviant,8.67,103.5,complex
gerson_2014a.1.1_active.120,7,deviant,1.38,91.3,complex
gerson_2014a.1.1_active.122,7,deviant,5.3,94.4,complex
gerson_2014a.1.1_active.131,7,deviant,1.57,121.8,complex
gerson_2014a.1.1_active.139,7,deviant,3.42,99.5,complex
gerson_2014a.1.1_active.190,7,deviant,55.55,91.3,complex
gerson_2014a.1.1_active.197,7,deviant,6.11,113.5,complex
gerson_2014a.1.1_active.200,7,deviant,8.97,103.5,complex
gerson_2014a.1.1_active.228,7,deviant,5.92,94.4,complex
gerson_2014a.1.1_observational.112,7,deviant,12.2,119.6,complex
gerson_2014a.1.1_observational.119,7,deviant,7.55,100.5,complex
gerson_2014a.1.1_observational.124,7,deviant,2.05,94.4,complex
gerson_2014a.1.1_observational.126,7,deviant,7.9,94.4,complex
gerson_2014a.1.1_observational.137,7,deviant,2.33,95.3,complex
gerson_2014a.1.1_observational.138,7,deviant,35.65,94.4,complex
gerson_2014a.1.1_observational.139,7,deviant,21.47,96.5,complex
gerson_2014a.1.1_observational.140,7,deviant,5.95,121.8,complex
gerson_2014a.1.1_observational.146,7,deviant,22.58,119.6,complex
gerson_2014a.1.1_observational.149,7,deviant,0.88,104.4,complex
gerson_2014a.1.1_observational.150,7,deviant,33.4,97.4,complex
gerson_2014a.1.1_observational.151,7,deviant,1.68,106.5,complex
gerson_2014a.1.1_observational.152,7,deviant,0.32,119.6,complex
gerson_2014a.1.1_observational.160,7,deviant,0.85,110.5,complex
gerson_2014a.1.1_observational.170,7,deviant,16.23,98.3,complex
gerson_2014a.1.1_observational.179,7,deviant,2.17,110.5,complex
gerson_2014a.1.1_observational.202,7,deviant,5.94,99.5,complex
gerson_2014a.1.1_observational.218,7,deviant,6.43,119.6,complex
gerson_2014a.1.1_observational.219,7,deviant,2.77,106.5,complex
gerson_2014a.1.1_observational.220,7,deviant,2.81,110.5,complex
gerson_2014a.1.1_observational.223,7,deviant,8.74,105.6,complex
gerson_2014a.1.1_observational.232,7,deviant,0.46,116.6,complex
gerson_2014a.1.1_observational.233,7,deviant,12.48,91.3,complex
gerson_2014a.1.1_observational.234,7,deviant,1.16,121.8,complex
gerson_2014a.1.1_control.168,7,deviant,6.67,108.7,complex
gerson_2014a.1.1_control.169,7,deviant,11.92,104.4,complex
gerson_2014a.1.1_control.171,7,deviant,46.48,108.7,complex
gerson_2014a.1.1_control.174,7,deviant,1.28,91.3,complex
gerson_2014a.1.1_control.175,7,deviant,40.52,106.5,complex
gerson_2014a.1.1_control.178,7,deviant,6.3,100.5,complex
gerson_2014a.1.1_control.180,7,deviant,6.35,94.4,complex
gerson_2014a.1.1_control.181,7,deviant,0.98,92.2,complex
gerson_2014a.1.1_control.182,7,deviant,15.85,95.3,complex
gerson_2014a.1.1_control.183,7,deviant,1.23,100.5,complex
gerson_2014a.1.1_control.186,7,deviant,10.53,103.5,complex
gerson_2014a.1.1_control.187,7,deviant,4.03,110.5,complex
gerson_2014a.1.1_control.189,7,deviant,32.25,120.8,complex
gerson_2014a.1.1_control.191,7,deviant,1.18,100.5,complex
gerson_2014a.1.1_control.193,7,deviant,0.13,118.7,complex
gerson_2014a.1.1_control.194,7,deviant,7.18,107.5,complex
gerson_2014a.1.1_control.196,7,deviant,5.61,104.4,complex
gerson_2014a.1.1_control.201,7,deviant,6.17,109.6,complex
gerson_2014a.1.1_control.204,7,deviant,1.69,103.5,complex
gerson_2014a.1.1_control.205,7,deviant,5.78,104.4,complex
gerson_2014a.1.1_control.210,7,deviant,4.65,108.7,complex
gerson_2014a.1.1_control.211,7,deviant,70.46,100.5,complex
gerson_2014a.1.1_control.212,7,deviant,20.52,104.4,complex
gerson_2014a.1.1_control.213,7,deviant,1.81,114.8,complex
gerson_2014b.1.1_active.32,7,deviant,0.09,106.5,complex
gerson_2014b.1.1_active.67,7,deviant,0.31,98.3,complex
gerson_2014b.1.1_active.69,7,deviant,7.04,119.6,complex
gerson_2014b.1.1_active.72,7,deviant,5.29,104.4,complex
gerson_2014b.1.1_active.76,7,deviant,3.26,116.6,complex
gerson_2014b.1.1_active.77,7,deviant,2.44,105.6,complex
gerson_2014b.1.1_active.78,7,deviant,3.67,96.5,complex
gerson_2014b.1.1_active.79,7,deviant,3.92,106.5,complex
gerson_2014b.1.1_active.81,7,deviant,5.42,116.6,complex
gerson_2014b.1.1_active.86,7,deviant,1.52,125.7,complex
gerson_2014b.1.1_active.88,7,deviant,3.49,113.5,complex
gerson_2014b.1.1_active.91,7,deviant,20.66,119.6,complex
gerson_2014b.1.1_active.92,7,deviant,8.78,104.4,complex
gerson_2014b.1.1_active.94,7,deviant,7.01,105.6,complex
gerson_2014b.1.1_active.95,7,deviant,5.5,111.7,complex
gerson_2014b.1.1_active.102,7,deviant,5.5,91.3,complex
gerson_2014b.1.1_active.144,7,deviant,2.11,94.4,complex
gerson_2014b.1.1_active.143,7,deviant,13.27,120.8,complex
gerson_2014b.1.1_active.146,7,deviant,13.27,110.5,complex
gerson_2014b.1.1_active.147,7,deviant,3.81,109.6,complex
gerson_2014b.1.1_active.148,7,deviant,6.75,97.4,complex
gerson_2014b.1.1_active.151,7,deviant,25.83,93.5,complex
gerson_2014b.1.1_active.159,7,deviant,6.66,119.6,complex
gerson_2014b.1.1_active.162,7,deviant,27.28,107.5,complex
gerson_2014b.1.1_active.165,7,deviant,0.21,107.5,complex
gerson_2014b.1.1_active.166,7,deviant,4.8,95.3,complex
gerson_2014b.1.1_active.167,7,deviant,7.22,102.6,complex
gerson_2014b.1.1_active.169,7,deviant,1.66,107.5,complex
gerson_2014b.1.1_active.171,7,deviant,8.35,94.4,complex
gerson_2014b.1.1_active.173,7,deviant,5.63,121.8,complex
gerson_2014b.1.1_observational.19,7,deviant,4.04,104.4,complex
gerson_2014b.1.1_observational.27,7,deviant,4.51,104.4,complex
gerson_2014b.1.1_observational.25,7,deviant,5.42,119.6,complex
gerson_2014b.1.1_observational.12,7,deviant,0.57,97.4,complex
gerson_2014b.1.1_observational.3,7,deviant,1.48,118.7,complex
gerson_2014b.1.1_observational.10,7,deviant,4.3,105.6,complex
gerson_2014b.1.1_observational.30,7,deviant,1.49,125.7,complex
gerson_2014b.1.1_observational.21,7,deviant,5.92,104.4,complex
gerson_2014b.1.1_observational.33,7,deviant,0.66,115.7,complex
gerson_2014b.1.1_observational.39,7,deviant,17.78,98.3,complex
gerson_2014b.1.1_observational.16,7,deviant,0.49,118.7,complex
