subject,dishab_trial_num,dishab_diff,agedays,complexity,sd_volatility,mad_volatility,cv_volatility,range_volatility,mad_robust_volatility,garch_volatility,decay_rate,decay_rates_random,group,age_in_months,age
brandone_2009.1.1_successfulreaching12.65,11,-0.4238602756364642,367.1,complex,3.4136646974573623,2.1923999999999997,0.28277540568732296,12.29,1.1450000000000005,2.188506650243229,-0.22564358717088565,-0.06369315759236217,infants,NA,NA
brandone_2009.1.1_successfulreaching12.71,11,-0.32120476449042457,367.7,complex,4.012557510837418,2.8276,0.3321103716965252,14.280000000000001,1.8600000000000003,NA,-0.22465267205847775,-0.04015331438198946,infants,NA,NA
brandone_2009.1.1_successfulreaching12.14,11,-0.05442243402107394,366.8,complex,3.1412363100466605,2.1232,0.22451835537464518,10.900000000000002,1.5200000000000005,2.2727853611045554,-0.18848131573703558,-0.03763280083369406,infants,NA,NA
brandone_2009.1.1_successfulreaching12.6,11,-0.45721027778582624,341.2,complex,5.549937336983585,4.0924,0.38990707720834517,14.98,1.5749999999999993,3.933482982799931,-0.19661475874570816,-0.048663249504640696,infants,NA,NA
brandone_2009.1.1_successfulreaching12.66,11,0.15586086902261131,370.2,complex,2.986194903217136,2.4148,0.19993270642857097,9.13,1.8099999999999987,2.3267810436833427,-0.1702715029605205,-0.039399097536689076,infants,NA,NA
brandone_2009.1.1_successfulreaching12.10,11,-0.30387675837176165,341.2,complex,5.166262887447969,4.182,0.31339174324828445,16.270000000000003,4.05,4.7104265425148855,-0.15375373883899685,-0.05814015123434994,infants,NA,NA
brandone_2009.1.1_successfulreaching12.18,11,-1.0739455959077058,335.8,complex,2.0681191132685433,1.6440000000000006,0.1217615021058901,6.429999999999998,1.5200000000000005,1.471411968583254,-0.1371042681145306,-0.01435353594761149,infants,NA,NA
brandone_2009.1.1_successfulreaching12.19,11,-0.20247691450565064,366.5,complex,6.315959415111321,4.503,0.3092874695221253,21.5,4.2150000000000025,3.86644467127808,-0.09657696739390728,-0.013419177511940494,infants,NA,NA
brandone_2009.1.1_failedreaching8.815,11,0.13353139262452274,241.5,complex,3.9673808880810917,3.242,0.6805113015576486,11.399999999999999,1.1499999999999997,3.1304023259292846,-0.35157665052913467,-0.05229998779479431,infants,NA,NA
brandone_2009.1.1_failedreaching8.801,11,-0.11551288712184427,249.6,complex,2.8257742301889586,2.0700000000000003,0.47492003868721994,8,0.9499999999999997,2.1483325636613966,-0.35467871889605057,-0.033616322842181454,infants,NA,NA
brandone_2009.1.1_failedreaching8.803,9,0.8855190732074012,261.8,complex,3.2473890611205976,2.6968750000000004,0.5124085303543349,8.3,2.35,2.70468587365933,-0.3459710157531185,-0.06086227032722159,infants,NA,NA
brandone_2009.1.1_failedreaching8.810,11,0.06453852113757108,237.4,complex,2.538262747978975,2.1100000000000003,0.37603892562651486,8.1,2,1.6423864483032362,-0.3350336099598744,-0.03753512041690018,infants,NA,NA
