subject,complexity
gerson_2014b.1.1_observational.18,complex
gerson_2014b.1.1_observational.28,complex
gerson_2014b.1.1_observational.40,complex
gerson_2014b.1.1_observational.5,complex
gerson_2014b.1.1_observational.22,complex
gerson_2014b.1.1_observational.2,complex
gerson_2014b.1.1_observational.24,complex
gerson_2014b.1.1_observational.14,complex
gerson_2014b.1.1_observational.34,complex
gerson_2014b.1.1_observational.26,complex
gerson_2014b.1.1_observational.35,complex
gerson_2014b.1.1_observational.23,complex
gerson_2014b.1.1_observational.20,complex
gerson_2014b.1.1_observational.7,complex
gerson_2014b.1.1_observational.36,complex
gerson_2014b.1.1_observational.9,complex
gerson_2014b.1.1_observational.38,complex
gerson_2014b.2.2.105,complex
gerson_2014b.2.2.125,complex
gerson_2014b.2.2.97,complex
gerson_2014b.2.2.118,complex
gerson_2014b.2.2.46,complex
gerson_2014b.2.2.38,complex
gerson_2014b.2.2.22,complex
gerson_2014b.2.2.115,complex
gerson_2014b.2.2.106,complex
gerson_2014b.2.2.40,complex
gerson_2014b.2.2.123,complex
gerson_2014b.2.2.99,complex
gerson_2014b.2.2.110,complex
gerson_2014b.2.2.107,complex
gerson_2014b.2.2.129,complex
gerson_2014b.2.2.132,complex
gerson_2014b.2.2.131,complex
gerson_2014b.2.2.29,complex
gerson_2014b.2.2.122,complex
gerson_2014b.2.2.43,complex
gerson_2014b.2.2.137,complex
gerson_2014b.2.2.134,complex
gerson_2014b.2.2.160,complex
gerson_2014b.2.2.141,complex
gerson_2014b.2.2.120,complex
gerson_2014b.2.2.104,complex
gerson_2014b.2.2.68,complex
gerson_2014b.2.2.18,complex
gerson_2014b.2.2.163,complex
gerson_2014b.2.2.87,complex
hespos_2009.1.1_habtosolid.41,similar
hespos_2009.1.1_habtosolid.22,similar
hespos_2009.1.1_habtosolid.39,similar
hespos_2009.1.1_habtosolid.46,similar
hespos_2009.1.1_habtosolid.10,similar
hespos_2009.1.1_habtosolid.15,similar
hespos_2009.1.1_habtosolid.42,similar
hespos_2009.1.1_habtosolid.44,similar
hespos_2009.1.1_habtosolid.29,similar
hespos_2009.1.1_habtosolid.36,similar
hespos_2009.1.1_habtosolid.43,similar
hespos_2009.1.1_habtosolid.37,similar
hespos_2009.1.1_habtosolid.12,similar
hespos_2009.1.1_habtosolid.19,similar
hespos_2009.1.1_habtosolid.27,similar
hespos_2009.1.1_habtosolid.21,similar
hespos_2009.2.2_habtosolid.44,similar
hespos_2009.2.2_habtosolid.11,similar
hespos_2009.2.2_habtosolid.15,similar
hespos_2009.2.2_habtosolid.46,similar
hespos_2009.2.2_habtosolid.47,similar
hespos_2009.2.2_habtosolid.50,similar
hespos_2009.2.2_habtosolid.29,similar
hespos_2009.2.2_habtosolid.4,similar
hespos_2009.2.2_habtosolid.10,similar
hespos_2009.2.2_habtosolid.18,similar
hespos_2009.2.2_habtosolid.27,similar
hespos_2009.2.2_habtosolid.16,similar
hespos_2009.2.2_habtosolid.26,similar
hespos_2009.2.2_habtosolid.36,similar
hespos_2009.2.2_habtosolid.39,similar
liu_2017a.1.1.E1_1,complex
liu_2017a.1.1.E1_10,complex
liu_2017a.1.1.E1_11,complex
liu_2017a.1.1.E1_12,complex
liu_2017a.1.1.E1_13,complex
liu_2017a.1.1.E1_14,complex
liu_2017a.1.1.E1_15,complex
liu_2017a.1.1.E1_16,complex
liu_2017a.1.1.E1_17,complex
liu_2017a.1.1.E1_18,complex
liu_2017a.1.1.E1_19,complex
liu_2017a.1.1.E1_2,complex
liu_2017a.1.1.E1_20,complex
liu_2017a.1.1.E1_3,complex
liu_2017a.1.1.E1_4,complex
liu_2017a.1.1.E1_5,complex
liu_2017a.1.1.E1_6,complex
liu_2017a.1.1.E1_7,complex
liu_2017a.1.1.E1_8,complex
liu_2017a.1.1.E1_9,complex
liu_2017a.2.2.E2_1,complex
liu_2017a.2.2.E2_10,complex
liu_2017a.2.2.E2_11,complex
liu_2017a.2.2.E2_12,complex
liu_2017a.2.2.E2_13,complex
liu_2017a.2.2.E2_14,complex
liu_2017a.2.2.E2_15,complex
liu_2017a.2.2.E2_16,complex
liu_2017a.2.2.E2_17,complex
liu_2017a.2.2.E2_18,complex
liu_2017a.2.2.E2_19,complex
liu_2017a.2.2.E2_2,complex
liu_2017a.2.2.E2_20,complex
liu_2017a.2.2.E2_3,complex
liu_2017a.2.2.E2_4,complex
liu_2017a.2.2.E2_5,complex
liu_2017a.2.2.E2_6,complex
liu_2017a.2.2.E2_7,complex
liu_2017a.2.2.E2_8,complex
liu_2017a.2.2.E2_9,complex
liu_2017a.3.3.E3_1,complex
liu_2017a.3.3.E3_10,complex
liu_2017a.3.3.E3_11,complex
liu_2017a.3.3.E3_12,complex
liu_2017a.3.3.E3_13,complex
liu_2017a.3.3.E3_14,complex
liu_2017a.3.3.E3_15,complex
liu_2017a.3.3.E3_16,complex
liu_2017a.3.3.E3_17,complex
liu_2017a.3.3.E3_18,complex
liu_2017a.3.3.E3_19,complex
liu_2017a.3.3.E3_2,complex
liu_2017a.3.3.E3_20,complex
liu_2017a.3.3.E3_3,complex
liu_2017a.3.3.E3_4,complex
liu_2017a.3.3.E3_5,complex
liu_2017a.3.3.E3_6,complex
liu_2017a.3.3.E3_7,complex
liu_2017a.3.3.E3_8,complex
liu_2017a.3.3.E3_9,complex
liu_2017b.1.1.S1_18,complex
liu_2017b.1.1.S1_16,complex
liu_2017b.1.1.S1_3,complex
liu_2017b.1.1.S1_17,complex
liu_2017b.1.1.S1_11,complex
liu_2017b.1.1.S1_8,complex
liu_2017b.1.1.S1_15,complex
liu_2017b.1.1.S1_4,complex
liu_2017b.1.1.S1_23,complex
liu_2017b.1.1.S1_13,complex
liu_2017b.1.1.S1_22,complex
liu_2017b.1.1.S1_1,complex
liu_2017b.1.1.S1_2,complex
liu_2017b.1.1.S1_24,complex
liu_2017b.1.1.S1_6,complex
liu_2017b.1.1.S1_10,complex
liu_2017b.1.1.S1_12,complex
liu_2017b.1.1.S1_7,complex
liu_2017b.1.1.S1_14,complex
liu_2017b.1.1.S1_21,complex
liu_2017b.1.1.S1_5,complex
liu_2017b.1.1.S1_19,complex
liu_2017b.1.1.S1_9,complex
liu_2017b.1.1.S1_20,complex
liu_2017b.2.2.S2_14,complex
liu_2017b.2.2.S2_18,complex
liu_2017b.2.2.S2_9,complex
liu_2017b.2.2.S2_23,complex
liu_2017b.2.2.S2_1,complex
liu_2017b.2.2.S2_22,complex
liu_2017b.2.2.S2_12,complex
liu_2017b.2.2.S2_17,complex
liu_2017b.2.2.S2_10,complex
liu_2017b.2.2.S2_8,complex
liu_2017b.2.2.S2_4,complex
liu_2017b.2.2.S2_5,complex
liu_2017b.2.2.S2_20,complex
liu_2017b.2.2.S2_11,complex
liu_2017b.2.2.S2_24,complex
liu_2017b.2.2.S2_16,complex
liu_2017b.2.2.S2_6,complex
liu_2017b.2.2.S2_7,complex
liu_2017b.2.2.S2_13,complex
liu_2017b.2.2.S2_2,complex
liu_2017b.2.2.S2_3,complex
liu_2017b.2.2.S2_21,complex
liu_2017b.2.2.S2_15,complex
liu_2017b.2.2.S2_19,complex
liu_2017b.3.3.S3_2,complex
liu_2017b.3.3.S3_6,complex
liu_2017b.3.3.S3_11,complex
liu_2017b.3.3.S3_12,complex
liu_2017b.3.3.S3_13,complex
liu_2017b.3.3.S3_15,complex
liu_2017b.3.3.S3_16,complex
liu_2017b.3.3.S3_17,complex
liu_2017b.3.3.S3_19,complex
liu_2017b.3.3.S3_20,complex
liu_2017b.3.3.S3_22,complex
liu_2017b.3.3.S3_24,complex
liu_2017b.3.3.S3_25,complex
liu_2017b.3.3.S3_29,complex
liu_2017b.3.3.S3_30,complex
liu_2017b.3.3.S3_32,complex
liu_2017b.3.3.S3_1,complex
liu_2017b.3.3.S3_3,complex
liu_2017b.3.3.S3_4,complex
liu_2017b.3.3.S3_5,complex
liu_2017b.3.3.S3_7,complex
liu_2017b.3.3.S3_8,complex
liu_2017b.3.3.S3_9,complex
liu_2017b.3.3.S3_10,complex
liu_2017b.3.3.S3_14,complex
liu_2017b.3.3.S3_18,complex
liu_2017b.3.3.S3_21,complex
liu_2017b.3.3.S3_23,complex
liu_2017b.3.3.S3_26,complex
liu_2017b.3.3.S3_27,complex
liu_2017b.3.3.S3_28,complex
liu_2017b.3.3.S3_31,complex
liu_2019.3.3_experimental.S1_1,complex
liu_2019.3.3_experimental.S1_10,complex
liu_2019.3.3_experimental.S1_11,complex
liu_2019.3.3_experimental.S1_12,complex
liu_2019.3.3_experimental.S1_16,complex
liu_2019.3.3_experimental.S1_19,complex
liu_2019.3.3_experimental.S1_3,complex
liu_2019.3.3_experimental.S1_4,complex
liu_2019.3.3_experimental.S1_6,complex
liu_2019.3.3_experimental.S1_7,complex
liu_2019.3.3_experimental.S1_22,complex
liu_2019.3.3_experimental.S1_28,complex
